Signatur	STANDORT_Hilfsspalte	STANDORT2	STANDORT3	ZUGANGSNR	EXEMPLARNR	Kurztitel	GTV	HST	Sachgruppe	Ort	"Epoche/
Räume"	ISBN
P 1388	P 001388	Zentrale		BV68/38	1602921001	Lindemann, Kurt: Der Hildesheimer Silberfund Varus und Germanicus / Kurt Lindemann		¬Der¬ Hildesheimer Silberfund Varus und Germanicus	"GE; MET"	D	RKZ	
P 1389	P 001389	Zentrale		BV73/276	218425003	Lindemann, Rolf: Studien zur Geographie der Waldgrenzen im westlichen Norwegen, exemplarisch behandelt an der Fosen-Halbinsel in Tröndelag (Geographie)		Studien zur Geographie der Waldgrenzen im westlichen Norwegen, exemplarisch behandelt an der Fosen-Halbinsel in Tröndelag	BO	SK	MA/NZ	
P 1390	P 001390	Zentrale		BV95/564	1602923001	Handzaam hout uit Groninger grond : houtgebruik in de historische stad / onder red. van : K. Helfrich ...		Handzaam hout uit Groninger grond	HOL	BEN	MA/NZ	90-72177-05-3
P 1391	P 001391	Zentrale		BV95/565	301771004	"Friedensreiter und Sendschwert - Bürger und Soldaten : Begleitbuch zur Ausstellung des Stadtmuseums Münster und des I. Korps ; 07. Juli - 08. Oktober 1995"		Friedensreiter und Sendschwert - Bürger und Soldaten	"SOKA; GE"	W	MA/NZ	
P 1392	P 001392	Zentrale		BV95/569	1602924001	Archeological research between Oude Delft and Westvest = Archeologisch onderzoek tussen Oude Delft en Westvest / Epko J. Bult ...		Archeological research between Oude Delft and Westvest	SIE	BEN	MA/NZ	90-73445-02-7
P 1392o	P 001392o	Zentrale		B37/754	712652002	Lindner, Kurt: Die Jagd der Vorzeit / von Kurt Lindner		¬Die¬ Jagd der Vorzeit	WIR	EU	"PAL/MES; NEO; BZ; EZ"	
P 1392w - 1	P 001392w - 1	Zentrale		BV85/299	1602929001	"Tre vikingatida Gravfält på Gotland Teil:  1:. Text. - 1983. -  148 S.  (Riksantikvarieämbe... ; 3)(Arkeologiska Skrifter ; 1982,3)"	"Riksantikvarieämbetet och Statens Historiska Museer Rapport ; 3"	Text	GRÄ	SK	VWZ/FMA	
P 1392w - 2	P 001392w - 2	Zentrale		BV85/299	1602928001	"Tre vikingatida Gravfält på Gotland Teil:  2:. Planscher  . - 122 S.  (Riksantikvarieämbe... ; 4)(Arkeologiska Skrifter ; 1982,4)"	"Riksantikvarieämbetet och Statens Historiska Museer Rapport ; 4"	Planscher  	GRÄ	SK	VWZ/FMA	
P 1393	P 001393	Zentrale		B36/124	1602931001	"Lindqvist, Sune: Uppsala högar och Ottarshögen : with an English summary / av Sune Lindquist (Arkeologiska monografier ; 23)"	"Arkeologiska monografier ; 23"	Uppsala högar och Ottarshögen	GRÄ	SK	VWZ/FMA	
P 1393m	P 001393m	Zentrale		BV75/427	1602932001	Linfert, Andreas: Römische Wandmalerei der nordwestlichen Provinzen : die römischen Wandmalereien der Kölner Domgrabung von 1969 in naturwissenschaftlicher Sicht / Andreas Linfert...		Römische Wandmalerei der nordwestlichen Provinzen	KU	D	RKZ	
P 1393n	P 001393n	Zentrale		BV75/425	1602933001	Linfert-Reich, Inge: Römisches Alltagsleben in Köln / Inge Linfert-Reich		Römisches Alltagsleben in Köln	SIE	D	RKZ	
P 1393p	P 001393p	Zentrale		BV77/87	17738002	"Linke, Wolfgang: Frühestes Bauerntum... / Wolfgang Linke (Bochumer geographische Arbeiten ; 28)"		Frühestes Bauerntum und geographische Umwelt	"GEO; WIR"	"W; D"	NEO	3-506-71208-X
P 1393z	P 001393z	Zentrale		BV68/89	1602934001	"Lintzel, Martin: Der historische Kern der Siegfriedsage / von Martin Lintzel (Historische Studien ; 245)"	"Historische Studien ; 245"	¬Der¬ historische Kern der Siegfriedsage	GE	D	MA/NZ	
P 1393zb - 1	P 001393zb - 1	Zentrale		BV80/44	22694002	Ausgewählte Schriften Bd. I. Zur altsächsischen Stammesgeschichte. - XI, 487 S.		Zur altsächsischen Stammesgeschichte	GE	"D; EU"	VWZ/FMA	
P 1393zb - 2	P 001393zb - 2	Zentrale		BV80/44	22695002	Ausgewählte Schriften Bd. II. Zur Karolinger- und Ottonenzeit, zum hohen und späten Mittelalter, zur Literaturgeschichte. - VIII, 631 S.		Zur Karolinger- und Ottonenzeit, zum hohen und späten Mittelalter, zur Literaturgeschichte	GE	"D; EU"	MA/NZ	
P 1394	P 001394	Zentrale		BV/ohne	218461002	"Lintzel, Martin: Der sächsische Stammesstaat und seine Eroberung durch die Franken / von Martin Lintzel - Nachdr.... (Historische Studien ; 227)"		¬Der¬ sächsische Stammesstaat und seine Eroberung durch die Franken	GE	"D; EU"	VWZ/FMA	
P 1394b	P 001394b	Zentrale		BV80/74	1602935001	"Lintzel, Martin: Miszellen zur Geschichte des zehnten Jahrhunderts / Martin Lintzel (Berichte über die Verhandlun... ; ...)"	"Berichte über die Verhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig, Philologisch-Historische Klasse ; 100,2"	Miszellen zur Geschichte des zehnten Jahrhunderts	GE	"D; EU"	"VWZ/FMA; MA/NZ"	
P 1394h	P 001394h	Zentrale		BV81/278	802284002	"Lippelt, Helmut: Thietmar von Merseburg : Reichsbischof und Chronist / von Helmut Lippelt (Mitteldeutsche Forschungen ; 72)"		Thietmar von Merseburg	GE	"D; EU"	"VWZ/FMA; MA/NZ"	3-412-83673-7
P 1394k	P 001394k	Zentrale		BV81/446	1602936001	Lipperheide, Clementine: Die Höhlen des Hönnetals / Clementine Lipperheide		¬Die¬ Höhlen des Hönnetals	"SIE; GEO"	W	"PAL/MES; NEO; EZ"	
P 1394m	P 001394m	Zentrale		BV71/143	1602938001	"Lippert, Andreas: Das awarenzeitliche Gräberfeld von Zwölfaxing in Niederösterreich / Andreas Lippert (Prähistorische Forschungen ; 7)"	"Prähistorische Forschungen ; H. 7"	¬Das¬ awarenzeitliche Gräberfeld von Zwölfaxing in Niederösterreich	GRÄ	A	VWZ/FMA	
P 1394r	P 001394r	Zentrale		BV75/341	1602939001	Lippert, Friedrich: Geschichte der Südhermunduren in Ostfranken : unserer Vorfahren in zwei Jahrtausenden, hier vom Jahre 1 - 741 / neu aufgestellt von Friedrich Lippert		Geschichte der Südhermunduren in Ostfranken	"NS; GE"	D	"RKZ; VWZ/FMA"	
P 1395	P 001395	Zentrale		BV95/570	1601054001	"Archäologische Arbeitsgemei... / Hrsg.: Karl Schmotz und Marie Zápotochá (Resümees der Vorträge ; 4)"		Resümees der Vorträge	"KO; SIE"	"D; CZ"	EZ	
P 1396	P 001396	Zentrale		BV95/576	210229002	"Römer in Neuss : 2000 Jahre Römer am Rhein ; Materialsammlung zur Geschichte von Novaesium / von Helmut Gilliam ..."		Römer in Neuss	"GE; SIE"	D	RKZ	
P 1397	P 001397	Zentrale		BV75/433	218486002	Lippeverband: Fünfzig Jahre Lippeverband / Mitarb.: Josef Reding ...		Fünfzig Jahre Lippeverband	"GE; TEC"	W	MA/NZ	
P 1397k	P 001397k	Zentrale		BV80/309	1602943001	"Lippold, Adolf: Theodosius der Grosse und seine Zeit / Adolf Lippold - 2., durch... (Beck'sche schwarze Reihe ; 209)"	"Beck'sche schwarze Reihe ; 209"	Theodosius der Grosse und seine Zeit	GE	EU	RKZ	3-406-06009-9
P 1397m - 1	P 001397m - 1	Zentrale		BV85/547	218490005	Lippstadt 1.  - 1985. - X, 483 S. : zahlr. Ill., graph. Darst., Kt.			GE	W	MA/NZ	
P 1397m - 2	P 001397m - 2	Zentrale		BV85/547	218491005	Lippstadt 2.  - 1985. - VI S., S. 485 - 1132 : zahlr. Ill., graph. Darst., Kt.			GE	W	MA/NZ	
P 1397m - 3	P 001397m - 3	Zentrale		BV85/547	218489005	Lippstadt [3]  Beilagen.  - 1985. - 11 Bl.			"GE; ATL"	W	MA/NZ	
P 1397o	P 001397o	Zentrale		BV81/431	1602945001	Liptak, Johann: Bilder aus der Zipser Vergangenheit : Urgeschichte und Besiedlung der Zips / Johann Lipták		Bilder aus der Zipser Vergangenheit	GE	"PL; SLO"	"NEO; BZ; EZ; VWZ/FMA; MA/NZ "	
P 1397p	P 001397p	Zentrale		BV84/89	1602946001	Lipták, Pál: Avars and ancient Hungarians		Avars and ancient Hungarians	"GRÄ; AN"	BALK	VWZ/FMA	963-05-2956-4
P 1398	P 001398	Zentrale		BV95/575	1602949001	Der Löwenmensch : Tier und Mensch in der Kunst der Eiszeit... / Ulmer Museum		¬Der¬ Löwenmensch	"SOKA; "	"D; F"	"PAL; MES"	3-7995-0409-5
P 1399 - 1	P 001399 - 1	Zentrale		B35/1038	1602950001	... Bericht über die Tätigkeit der von der Deutschen anthropologischen Gesellschaft gewählten Kommission für prähistorische Typenkarten 1. Erster Bericht über die Tätigkeit der von der Deutschen anthropologischen Gesellschaft gewählten Kommission für prähistorische Typenkarten. - 1904. - S. 538 - 607 : Ill., Kt.		Erster Bericht über die Tätigkeit der von der Deutschen anthropologischen Gesellschaft gewählten Kommission für prähistorische Typenkarten	"KO; MET"	EU	BZ	
P 1399 - 2	P 001399 - 2	Zentrale		B35/1038	1602954001	... Bericht über die Tätigkeit der von der Deutschen anthropologischen Gesellschaft gewählten Kommission für prähistorische Typenkarten 2. Zweiter Bericht über die...		Zweiter Bericht über die Tätigkeit der von der Deutschen anthropologischen Gesellschaft gewählten Kommission für prähistorische Typenkarten	"KO; MET"	EU	BZ	
P 1399 - 3	P 001399 - 3	Zentrale		B35/1038	1602956001	... Bericht über die Tätigkeit der von der Deutschen anthropologischen Gesellschaft gewählten Kommission für prähistorische Typenkarten 3. Dritter Bericht über die...		Dritter Bericht über die Tätigkeit der von der Deutschen Anthropologischen Gesellschaft gewählten Kommission für prähistorische Typenkarten	MET	EU	BZ	
P 1399 - 4	P 001399 - 4	Zentrale		B35/1038	1602958001	... Bericht über die Tätigkeit der von der Deutschen anthropologischen Gesellschaft gewählten Kommission für prähistorische Typenkarten 4. Vierter Bericht über die Tätigkeit der von der Deutschen Anthropologischen Gesellschaft gewählten Kommission für prähistorische Typenkarten. - 1907. - S. 786 - 831 : Ill.		Vierter Bericht über die Tätigkeit der von der Deutschen Anthropologischen Gesellschaft gewählten Kommission für prähistorische Typenkarten	MET	EU	BZ	
P 1400	P 001400	Zentrale		BV95/577	1602960001	"Archäologie, Raubgrabungen... / Im Auftrag des Vorstandes hrsg. von Hans Georg Niemeyer (Schriften des Deutschen Arch... ; 13)"	"Schriften des Deutschen Archäologen-Verbandes ; 13"	Archäologie, Raubgrabungen und Kunsthandel	"KO; DENK"	D		
P 1400k	P 001400k	Zentrale		BV79/198	1602962001	Lith, Sophia Maria Elisabeth van: Römisches Glas aus den westlichen Niederlanden / door Sophia Maria Elisabeth van Lith		Römisches Glas aus den westlichen Niederlanden	GLA	BEN	RKZ	
P 1401	P 001401	Zentrale		BV71/87	1602964001	Lithberg, Nils: Gotlands stenålder / av Nils Lithberg		Gotlands stenålder	SIE	SK	NEO	
P 1402	P 001402	Zentrale		BV85/747	1602965001	"Litvinskij, Boris Anatol'evic: Eisenzeitliche Kurgane zwischen Pamir und Aral-See / Boris Anatol'evic Litvinskij (Materialien zur Allgemeinen ... ; 22)"	"Materialien zur Allgemeinen und vergleichenden Archäologie ; 22"	Eisenzeitliche Kurgane zwischen Pamir und Aral-See	GRÄ	AS	EZ	3-406-30656-X
P 1403	P 001403	Zentrale		BV68/291	1602966001	Liversidge, Joan: Britain in the Roman Empire / Joan Liversidge		Britain in the Roman Empire	"GES; SIE"	BR	RKZ	0-7100-2898-9
P 1404 - 1/3	P 001404 - 1/3	Zentrale		BV90/250	1602971001	Römische Geschichte Buch I - III.  - 1987. - 682 S. (Sammlung Tusculum)	Sammlung Tusculum		GE	"I; EU"	AW	
P 1404 - 21/23	P 001404 - 21/23	Zentrale		BV79/596	1602979001	Römische Geschichte Buch XXI - XXIII.  - 1974. - 519 S. (Sammlung Tusculum)	Sammlung Tusculum		GE	"I; EU"	AW	3-7765-2117-1
P 1404 - 24/26	P 001404 - 24/26	Zentrale		BV79/596	1602980001	Römische Geschichte Buch XXIV - XXVI.  - 1977. - 488 S. (Sammlung Tusculum)	Sammlung Tusculum		GE	"I; EU"	AW	3-7765-2118-X
P 1404 - 27/30	P 001404 - 27/30	Zentrale		BV00/558	1602982001	Römische Geschichte Buch XXVII - XXX.  - 1997. - 831 S. (Sammlung Tusculum)	Sammlung Tusculum		GE	"I; EU"	AW	3-7608-1556-1
P 1404 - 31/34	P 001404 - 31/34	Zentrale		BV79/596	1602983001	Römische Geschichte Buch XXXI - XXXIV.  - 1978. - 601 S. (Sammlung Tusculum)	Sammlung Tusculum		GE	"I; EU"	AW	3-7765-2120-1
P 1404 - 35/38	P 001404 - 35/38	Zentrale		BV93/892	1602984001	Römische Geschichte Buch XXXV - XXXVIII.  - 2. Aufl. - 1991. - 663 S. (Sammlung Tusculum)	Sammlung Tusculum		GE	"I; EU"	AW	3-7608-1558-8
P 1404 - 39/41	P 001404 - 39/41	Zentrale		BV90/251	1602986001	Römische Geschichte Buch XXXIX - XLI.  - 1983. - 473 S. (Sammlung Tusculum)	Sammlung Tusculum		GE	"I; EU"	AW	3-7608-1559-6
P 1404 - 4/6	P 001404 - 4/6	Zentrale		BV93/892	1602972001	Römische Geschichte Buch 4 - 6. Buch 4 - 6. - 1991. - 525 S. (Sammlung Tusculum)	Sammlung Tusculum	Buch 4 - 6	GE	"I; EU"	AW	3-423-02262-0
P 1404 - 42/44	P 001404 - 42/44	Zentrale		BV90/252	1602989001	Römische Geschichte Buch XLII - XLIV.  - 1988. - 464 S. (Sammlung Tusculum)	Sammlung Tusculum		GE	"I; EU"	AW	3-7608-1560-X
P 1404 - 45	P 001404 - 45			BV00/611		Buch 45. Antike Inhaltsangabe und Fragmente der Bücher 46-142. - 2000. - 763 S. (Sammlung Tusculum)			GE	"I; EU"	AW	
P 1404 - 7/10	P 001404 - 7/10	Zentrale		BV95/110	1602975001	Römische Geschichte Buch 7 - 10. Fragmente der zweiten Dekade. - 1994. - 710 S. (Sammlung Tusculum)	Sammlung Tusculum	Fragmente der zweiten Dekade	GE	"I; EU"	AW	3-7608-1553-2
P 1405	P 001405	Zentrale		BV95/583	1602990001	"Lutz, Rüdiger ; Lutz, Gabriele: Das Geheimnis der Wüste : die Felskunst des Messak Sattafet und Messak Mellet - Libyen ; Projekt: Felsbildforschung in der Sahara / Rüdiger Lutz ; Gabriele Lutz"		¬Das¬ Geheimnis der Wüste	KU	AF	AW	3-900773-09-2
P 1406	P 001406	Zentrale		BV95/580	1565886002	Gimbutas, Marija: Das Ende Alteuropas : der Einfall von Steppennomaden aus Südrußland und die Indogermanisierung Mitteleuropas (Innsbrucker Beiträge zur Kulturwiss...)	"Innsbrucker Beiträge zur Kulturwissenschaft : Sonderheft ; 90"	¬Das¬ Ende Alteuropas	"SIE; GSL"	"RUS; BALK"	"NEO; BZ"	3-85124-171-1
P 1407	P 001407	Zentrale		BV79/131	1603042001	"Poblado protohistorico de ""La Hoya"" : Laguardia, Alava (Armando Llanos Ortiz de Landaluce) - 2. ed."		"Poblado protohistorico de ""La Hoya"""	SIE	IB	EZ	
P 1408	P 001408	Zentrale		BV81/414	1603043001	Llewellyn, Peter: Rome in the dark ages / Peter Llewellyn		Rome in the dark ages	GE	"I; EU"	AW	0-571-08972-0
P 1408g	P 001408g	Zentrale		BV90/182	1603044001	"Morgan, G. Lloyd: The mirrors : including a description of the Roman mirrors found in the Netherlands in other Dutch museums / G. Lloyd Morgan (Description of the collectio... ; 9)"	"Description of the collections in the Rijksmuseum G.M. Kam at Nijmegen ; 9"	The mirrors	MET	BEN	RKZ	
P 1409	P 001409	Zentrale		BV84/390	1603046001	Loads and roads in Scotland and beyond : Land transport over 6000 years / Ed. by Alexander Fenton and Geoffrey Stell (A Scottish history and culture pa...)	A Scottish history and culture paperback	Loads and roads in Scotland and beyond	VER	BR	"NEO; BZ; EZ; RKZ; VWZ/FMA; MA/NZ"	0-85976-107-X
P 1410	P 001410	Zentrale		BV68/103	403795002	Lobbedey, Uwe: Untersuchungen mittelalterlicher Keramik vornehmlich aus Südwestdeutschland		Untersuchungen mittelalterlicher Keramik vornehmlich aus Südwestdeutschland	KER	D	VWZ/FMA	
P 1411	P 001411	Zentrale		BV91/266	902946002	Der Paderborner Dom : Vorgeschichte, Bau und Fortleben einer westfälischen Bischofskirche / Uwe Lobbedey (Westfälische Kunst)	Westfälische Kunst	¬Der¬ Paderborner Dom	REL	W	"VWZ/FMA; MA/NZ"	3-422-06063-4
P 1412	P 001412	Zentrale		BV95/579	1603048001	"Neudecker, Richard: Die Pracht der Latrine : zum Wandel öffentlicher Bedürfnisanstalten in der kaiserzeitlichen Stadt / Richard Neudecker (Studien zur antiken Stadt ; 1)"	"Studien zur antiken Stadt ; 1"	¬Die¬ Pracht der Latrine	SIE	EU	AW	3-923871-86-4
P 1413 - 1	P 001413 - 1	Zentrale		BV95/587	1603051001	Arms and armour of the crusading era, 1050 - 1350 1. Commentary. - 1. print. - 1988. - XIX, 573 S. : Ill., Kt.		Commentary	KU	"EU; AS"	MA/NZ	
P 1413 - 2	P 001413 - 2	Zentrale		BV95/587	1603052001	Arms and armour of the crusading era, 1050 - 1350 2. Illustrations. - 1. print. - 1988. - XI, S. 576 - 1038 : überwiegend Ill.		Illustrations	KU	"EU; AS"	MA/NZ	
P 1414	P 001414	Zentrale		BV80/107	1603055001	"Locarno : la necropoli romana di Solduno ; catalogo dei materiali / Pierangelo Donati e collaboratori (Quaderni d'informazione ; 3)"	"Quaderni d'informazione ; 3"	Locarno	GRÄ	I	AW	
P 1415	P 001415	Zentrale		BV94/486	1603056001	"Lochenice : z archeologických výzkumu na katastru obce /  [Vedectí red.: Miroslav Buchvaldek ...] - Vyd. 1 (Praehistorica ; 16)"	"Praehistorica ; 16"	Lochenice	GRÄ	CZ	"NEO; EZ; VWZ/FMA"	
P 1416	P 001416	Zentrale		BV82/191	1603059001	"Löfstrand, Lars: Yngre stenålderns kustboplatser : undersökningarna vid Äs och studier i den gropkeramiska kulturens kronologi och ekologi (Archaeological studies ; 1)"	"Archaeological studies ; 1"	Yngre stenålderns kustboplatser	SIE	SK	NEO	91-7222-063-5
P 1417 - 1	P 001417 - 1	Zentrale		BV95/590	1603063001	Salisbury Museum medieval catalogue 1.  - 1991. - 191 S. : Ill.			KAT	BR	MA/NZ	0-947535-13-6
P 1417 - 2	P 001417 - 2	Zentrale		BV95/591	1603067001	Salisbury Museum medieval catalogue 2. Spencer, Brian : Pilgrim souvenirs and secular badges. - 1990. - 144 S. : Ill., Kt.		Pilgrim souvenirs and secular badges	KAT	BR	MA/NZ	0-947535-12-8
P 1417d	P 001417d	Zentrale		BV75/57	1603069001	"Löhberg, Karl: Metallkundliche Untersuchung einer Fibel vom Magdalensberg (Kärnten) (Naturkun... ; 5)(Kärntner Mu... ; 40)"	"Naturkundliche Forschungen zu den Grabungen auf dem Magdalensberg ; 5"	Metallkundliche Untersuchung einer Fibel vom Magdalensberg (Kärnten)	MET	A	RKZ	
P 1417h	P 001417h	Zentrale		BV75/58	1603070001	"Löhberg, Karl: Untersuchungen einer Verbundstelle von Bleirohren vom Magdalensberg, Kärnten (Naturkun... ; 8.)(Kärntner M... ; 44.)"	"Naturkundl. Forschungen zu d. Grabungen auf dem Magdalensberg. ; 8."	Untersuchungen einer Verbundstelle von Bleirohren vom Magdalensberg, Kärnten	MET	A	RKZ	
P 1418	P 001418	Zentrale		BV95/592	1603072001	"Eogan, George: The accomplished art : Gold and gold-working in Britain and Ireland during the Bronze Age (c. 2300-650 BC) / George Eogan (Oxbow monograph ; 42)"	"Oxbow monograph ; 42"	¬The¬ accomplished art	"MET; TEC"	BR	BZ	0-946897-72-7
P 1419	P 001419	Zentrale		BV95/588	1603073001	Caiger-Smith, Alan: Lustre Pottery : technique, tradition and innovation in Islam and the Western world / Alan Caiger-Smith		Lustre Pottery	KER	"EU; AS"	MA/NZ	0-571-13507-2
P 1420	P 001420	Zentrale		B28/585	1603076001	Loeschcke, Siegfried: Die Erforschung des Tempelbezirks im Altbachtale zu Trier / Siegfried Loeschcke		¬Die¬ Erforschung des Tempelbezirks im Altbachtale zu Trier	REL	D	RKZ	
P 1420b	P 001420b	Zentrale		BV86/712	1603081001	Loeschcke, Siegfried: Denkmäler vom Weinbau aus der Zeit der Römerherrschaft an Mosel, Saar und Ruwer / Siegfried Loeschcke		Denkmäler vom Weinbau aus der Zeit der Römerherrschaft an Mosel, Saar und Ruwer	SIE	D	RKZ	
P 1420m	P 001420m	Zentrale		B55/634	1603082001	Loeschcke, Siegfried: Lampen aus Vindonissa : Ein Beitrag zur Geschichte von Vindonissa und des antiken Beleuchtungswesen / von Siegfried Loeschke		Lampen aus Vindonissa	KER	CH	RKZ	
P 1421	P 001421	Zentrale		BV95/593	1603083001	"Wainwright, G. J. ; Davies, S. M.: Balksbury Camp Hampshire : excavations 1973 and 1981 / G. J. Wainwright ; S. M. Davies. With contrib. by... (Archaeol... ; ...)(English Heritage)"	"Archaeological report  ; [N.F. ] 4"	Balksbury Camp Hampshire	SIE	BR	"NEO; BZ; EZ: RKZ"	1-85074-474-2
P 1422	P 001422	Zentrale		BV95/595	1603084001	Nering en vermaak : de opgraving van een veertiende-eeuwse markt in Amersfoort		Nering en vermaak	SIE	BEN	MA/NZ	90-5345-053-X
P 1423	P 001423	Zentrale		BV70/297	1603085001	Loewe, Günther: Die Varusschlacht : (clades Variana) / Günther Loewe		¬Die¬ Varusschlacht	GE	D	AW	
P 1423k	P 001423k	Zentrale		BV80/161	1603086001	Löwe, Heinz: Von Cassiodor zu Dante : ausgewählte Aufsätze zur Geschichtsschreibung und politischen Ideenwelt des Mittelalters / von Heinz Löwe		Von Cassiodor zu Dante	GE	EU	MA/NZ	3-11-003739-4
P 1424	P 001424	Zentrale	Tackenberg	BV14/2112	1506853002	"Frühes Christentum zwischen Weser und Ems im Spiegel der sächsisch-friesischen Gräberfelder Drantum und Dunum : Ausstellung in der Burg Arkenstede des Museumsdorfes in Cloppenburg ; [vom 22. April bis 22. Juni 1968]..."		Frühes Christentum zwischen Weser und Ems im Spiegel der sächsisch-friesischen Gräberfelder Drantum und Dunum	"SOKA; REL"	D	VWZ/FMA	
P 1425	P 001425	Zentrale		BV76/234	405956001	"Lohaus, Annethe: Die Merowinger und England / Annethe Lohaus (Münchene... ; 19)(Schriftenreihe de...)"		Die Merowinger und England	GE	"BR; EU"	VWZ/FMA	3-920128-20-5
P 1426	P 001426	Zentrale		BV95/611	1603088001	"Veil, Stephan: Vor 55000 Jahren : ein Jagdplatz früher Menschen bei Lichtenberg, Ldkr. Lüchow-Dannenberg / von Stephan Veil. Mit Beiträgen... (Begleithefte zu Ausstellunge... ; 5)"	"Begleithefte zu Ausstellungen der Abteilung Urgeschichte des Niedersächsischen Landesmuseums Hannover ; 5"	Vor 55000 Jahren	"SOKA; SIE"	D	PAL/MES	3-89598-274-1
P 1427	P 001427	Zentrale		BV95/613	503013007	650 Jahre Alchen : eine Dorfgeschichte / hrsg. vom Heimat- und Verschönerungsverein Alchen		650 Jahre Alchen	GE	W	MA/NZ	
P 1428	P 001428	Zentrale		BV67/255	1603089001	"Lommel, Andreas: Vorgeschichte und Naturvölker : Höhlenmalereien, Totems, Schmuck, Masken, Keramik, Waffen / von Andreas Lommel - 2. Aufl. (Schätze der Weltkunst ; 1)"	"Schätze der Weltkunst ; 1"	Vorgeschichte und Naturvölker	KULT	"EU; AF; AS; NOA; SUA"	"PAL/MES; NEO; MA/NZ"	
P 1428p	P 001428p	Zentrale		BV80/343	1603090001	Long barrows in Hampshire and the Isle of Wight / Royal Commission on Historical Monuments, England		Long barrows in Hampshire and the Isle of Wight	GRÄ	BR	NEO	0-11-700837-0
P 1429	P 001429	Zentrale		BV68/259	1603091001	Longworth, Ian Heaps: Yorkshire / Ian Heaps Longworth (Regional archaeologies series)	Regional archaeologies series	Yorkshire	ARF	BR	"PAL/MES; NEO; BZ; EZ; RKZ;"	
P 1429b	P 001429b	Zentrale		BV81/547	1603092001	"Longworth, Ian H. ; Kinnes, Ian A.: Sutton Hoo excavations : 1966, 1968 - 70 / I. H. Longworth and I. A. Kinnes (Occasional paper / British M... ; 23)"	"Occasional paper / British Museum ; 23"	Sutton Hoo excavations	SIE	BR	"NEO; BZ; EZ;RKZ; VWZ/FMA"	
P 1430	P 001430	Zentrale		BV/ohne	830669002	Lonke, Alwin: Römer, Franken, Sachsen zwischen Ems und Elbe : Fünf Untersuchungen / von Alwin Lonke		Römer, Franken, Sachsen zwischen Ems und Elbe	GE	D	"RKZ; VWZ/FMA"	
P 1431	P 001431	Zentrale		B57/183	1603093001	"Lonke, Alwin: Römisch-Germanisches : sechs Untersuchungen / von Alwin Lonke (Gießener Beiträge zur deutsc... ; 86)"	"Gießener Beiträge zur deutschen Philologie ; 86"	Römisch-Germanisches	GE	D	RKZ	
P 1432	P 001432	Zentrale		BV95/615	1603094001	"France / Direction Départementale de l'Equipement Meurthe-et-Moselle: Les fouilles de la RN 57 en Lorraine : cinq années de recherches ; la déviation de Flavigny-sur-Moselle (54) à Vincey (88) (Archéologie et aménagement du terri...)"	Archéologie et aménagement du territoire	¬Les¬ fouilles de la RN 57 en Lorraine	SIE	F	"PAL/MES; NEO; BZ"	2-9508037-0-9
P 1433	P 001433	Zentrale		BV95/620	1603095001	Sklenár, Karel: Archeologické nálezy v Cechách do roku 1870 : prehistorie a protohistorie / Karel Sklenár		Archeologické nálezy v Cechách do roku 1870	INV	CZ	"PAL/MES; NEO; BZ; EZ; RKZ; VWZ/FMA"	80-7036-012-7
P 1434	P 001434	Zentrale		BV95/623	1603097001	"Lassalle, Victor: Les sculptures romanes du Musée Archéologique de Nimes / Victor Lassalle (Cahiers des musées et monume... ; 6)"	"Cahiers des musées et monuments de Nimes ; 6"	¬Les¬ sculptures romanes du Musée Archéologique de Nimes	"KAT; KU"	F	RKZ	2-902309-61-9
P 1435	P 001435	Zentrale		BV95/624	1603098001	"Bessac, Jean-Claude ; Lassalle, Victor ; Pey, Jean: Les sculptures gothiques du Musée Archéologique de Nimes / Jean-Claude Bessac ; Victor Lassalle ; Jean Pey (Cahiers des musées et monume... ; 9)"	"Cahiers des musées et monuments de Nimes ; 9"	¬Les¬ sculptures gothiques du Musée Archéologique de Nimes	"KAT; KU"	F	MA/NZ	2-902309-69-4
P 1436	P 001436	Zentrale		BV95/625	18516002	Von Sankt Mauritius und seiner Gesellschaft : Festschrift zur 150jährigen Neubegründung de Pfarre St. Mauritz in Münster / hrsg. i. Auftr. der kath. Kirchengemeinde...		Von Sankt Mauritius und seiner Gesellschaft	"FES; GE; REL"	W	MA/NZ	3-87023-059-2
P 1437	P 001437	Zentrale		BV95/626	51026011	"Selter, Bernward: Waldnutzung und ländliche... (Forschungen zur Regionalgesc... ; 13)"	"Forschungen zur Regionalgeschichte ; 13"	Waldnutzung und ländliche Gesellschaft	WIR	W	MA/NZ	3-506-79585-6
P 1438	P 001438	Zentrale		BV95/631	1603101001	"Florescu, Adrian C.: Repertoriul culturii Noua-Coslogeni din România : asezari si necropole = Répertoire de la culture Noua-Coslogeni en Roumanie (Cultura ... ; 9)(Bibliotheca Thraco...)"	"Cultura si civilizatia la Dunarea de Jos ; 9"	Repertoriul culturii Noua-Coslogeni din România	GRÄ	BALK	BZ	973-95349-0-2
P 1438g	P 001438g	Zentrale		BV81/486	1603102001	"Lorenz, Rudolf: Das vierte bis sechste Jahrhundert (Westen) / von Rudolf Lorenz (Die Kirche in ihrer Geschi... ; ...)"	"Die Kirche in ihrer Geschichte ; C,1 : Bd. 1"	¬Das¬ vierte bis sechste Jahrhundert (Westen)	GE	D	VWZ/FMA	
